Statistiche Fantacalcio Stagione 2019 20,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
2006,D,Dd;E,Lirola,Fiorentina,35,5.83,5.83,0,0,0,0,0,0,2,4,0,0
2120,D,Dc,Bastoni,Inter,25,5.98,6.04,2,0,0,0,0,0,0,7,1,0
2165,D,Dc,Vitor Hugo,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2335,D,Dc,Luiz Felipe,Lazio,25,6,6.04,1,0,0,0,0,0,1,6,0,0
2572,D,Dc,Godin,Inter,22,6.05,6.11,1,0,0,0,0,0,1,5,0,0
2801,D,Dd;Dc,Iacoponi,Parma,35,5.89,5.96,2,0,0,0,0,0,0,7,0,0
4409,D,Dd;Ds;Dc,Rrahmani,Verona,36,5.94,5.9,0,0,0,0,0,0,1,5,0,0
4530,D,Ds;E,Kyriakopoulos,Sassuolo,23,6,6,0,0,0,0,0,0,2,4,0,0
4895,D,Dc,Yoshida,Sampdoria,14,5.89,5.93,0,0,0,0,0,0,1,1,0,0
140,D,Dd;Ds;E,Hysaj,Napoli,19,5.87,6.05,1,0,0,0,0,0,2,3,0,0
244,D,Dd;E,Ghiglione,Genoa,23,5.91,6.04,0,0,0,0,0,0,5,4,0,0
287,D,Dd;Dc,Caceres,Fiorentina,27,5.98,5.91,1,0,0,0,0,0,0,8,1,0
329,D,Ds;Dc,Radu,Lazio,29,5.93,5.9,1,0,0,0,0,0,0,8,0,0
550,D,Dd;Dc,Maksimovic,Napoli,22,5.86,6,1,0,0,0,0,0,1,2,0,0
2130,D,E,Hateboer,Atalanta,30,5.88,5.85,0,0,0,0,0,0,4,10,0,0
2184,D,Dd;Dc,Gravillon,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
2289,D,Ds;E,Dalbert,Fiorentina,31,5.85,5.82,0,0,0,0,0,0,4,8,1,0
2728,D,Ds;E,Pellegrini Lu.,Cagliari,24,6.04,6.04,0,0,0,0,0,0,5,10,0,0
4237,D,Dd;Ds;E,Danilo,Juventus,22,5.77,5.95,2,0,0,0,0,0,0,2,1,0
4421,D,Ds;E,Augello,Sampdoria,16,6.06,6.12,0,0,0,0,0,0,2,2,0,0
4422,D,Dd;Dc,Tomiyasu,Bologna,29,5.83,5.9,1,0,0,0,0,0,3,8,0,0
4426,D,Dd;Ds;E,Toljan,Sassuolo,28,5.91,5.95,1,0,0,0,0,0,2,8,0,0
4495,D,Dc,Kumbulla,Verona,24,6.15,6.12,1,0,0,0,0,0,0,5,1,0
4891,D,Dc,Soumaoro,Genoa,8,5.88,6.12,1,0,0,0,0,0,0,2,0,0
139,D,Dc,Dermaku,Parma,15,6.07,6,0,0,0,0,0,0,0,2,0,0
226,D,Dd;Dc,Izzo,Torino,31,5.79,5.74,1,0,0,0,0,0,0,5,2,0
357,D,Dd;E,Calabria,Milan,23,5.76,5.8,1,0,0,0,0,0,1,2,2,0
464,D,Dd;E,Florenzi,Roma,13,6,5.88,0,0,0,0,0,0,1,5,0,0
1866,D,Dc,Ceppitelli,Cagliari,15,6.03,6.13,2,0,0,0,0,0,0,5,0,1
1895,D,Dc,Ferrari G.,Sassuolo,22,5.91,5.84,0,0,0,0,0,0,1,5,0,0
2141,D,Dd;E,Depaoli,Sampdoria,27,5.85,5.78,0,0,0,0,0,0,1,7,0,0
